latitude,longitude,state
34.35,79.45,Ladakh
37.05,74.65,Ladakh
21.75,69.55,Gujarat
35.75,78.45,Ladakh
32.75,78.45,Ladakh
28.25,97.25,Arunachal Pradesh
19.05,82.55,Odisha
22.05,92.65,Mizoram
31.55,78.35,Himachal Pradesh
35.65,73.25,Ladakh
28.850002,94.45,Arunachal Pradesh
27.45,84.25,Bihar
26.45,89.75,West Bengal
25.25,90.15,Meghalaya
34.55,77.45,Ladakh
24.25,69.15,Gujarat
27.149998,92.05,Arunachal Pradesh
21.649998,89.05,Unknown
15.75,80.95,Andhra Pradesh
19.55,81.35,Chhattishgarh
23.05,91.65,Tripura
31.75,77.35,Himachal Pradesh
20.05,82.55,Odisha
23.25,81.75,Madhya Pradesh
28.349998,95.85,Arunachal Pradesh
22.149998,78.65,Madhya Pradesh
23.25,84.75,Jharkhand
16.25,79.35,Andhra Pradesh
22.849998,71.15,Gujarat
24.25,88.65,West Bengal
35.75,80.05,Ladakh
28.149998,92.75,Arunachal Pradesh
28.05,88.55,Sikkim
22.25,80.55,Madhya Pradesh
25.95,93.35,Assam
33.45,73.65,Jammu and Kashmir
27.649998,82.65,Uttar Pradesh
26.55,90.45,Assam
16.55,82.25,Andhra Pradesh
29.849998,80.35,Uttarakhand
25.849998,89.85,Assam
21.75,76.95,Madhya Pradesh
21.05,71.75,Gujarat
26.849998,89.35,West Bengal
33.65,76.85,Ladakh
15.15,80.05,Andhra Pradesh
18.45,80.35,Telengana
16.75,73.35,Maharashtra
23.95,94.15,Manipur
32.35,76.25,Himachal Pradesh
25.149998,91.45,Meghalaya
29.349998,80.25,Uttarakhand
26.349998,90.55,Assam
15.85,78.65,Andhra Pradesh
26.75,95.45,Arunachal Pradesh
26.55,87.05,Bihar
34.65,75.55,Ladakh
25.25,88.85,West Bengal
23.849998,84.15,Jharkhand
17.05,79.85,Telengana
22.05,74.25,Madhya Pradesh
25.849998,91.45,Assam
20.25,81.85,Chhattishgarh
35.65,77.35,Ladakh
27.149998,88.05,West Bengal
24.149998,91.65,Tripura
22.95,92.45,Mizoram
27.149998,97.15,Unknown
20.75,80.65,Chhattishgarh
26.75,91.95,Assam
26.849998,90.35,Assam
25.349998,80.15,Madhya Pradesh
18.15,81.85,Odisha
18.65,83.45,Andhra Pradesh
26.349998,91.35,Assam
23.149998,91.35,Tripura
24.149998,71.45,Gujarat
29.050003,80.05,Uttarakhand
25.75,94.95,Nagaland
23.849998,93.35,Mizoram
11.35,75.75,Kerala
26.149998,92.25,Assam
31.25,77.35,Himachal Pradesh
27.45,84.25,Bihar
21.45,80.55,Madhya Pradesh
24.649998,82.15,Madhya Pradesh
22.649998,86.95,West Bengal
11.15,76.65,Kerala
20.75,83.55,Odisha
26.25,91.35,Assam
26.55,89.55,West Bengal
25.149998,92.15,Meghalaya
22.649998,78.45,Madhya Pradesh
24.349998,70.35,Gujarat
35.45,76.05,Ladakh
19.85,86.05,Odisha
29.450005,96.05,Arunachal Pradesh
25.849998,91.95,Meghalaya
26.95,88.15,West Bengal
21.649998,87.45,Odisha
23.649998,91.25,Tripura
26.45,90.55,Assam
26.75,89.25,West Bengal
9.65,77.35,Tamilnadu
27.45,84.25,Bihar
26.149998,91.75,Assam
17.35,73.65,Maharashtra
24.849998,77.75,Madhya Pradesh
27.849998,96.45,Arunachal Pradesh
24.849998,93.25,Manipur
24.95,94.65,Manipur
29.149998,80.05,Uttarakhand
23.45,88.75,West Bengal
11.050001,76.75,Kerala
23.05,91.75,Tripura
26.45,91.05,Assam
22.849998,85.95,Jharkhand
20.85,82.55,Odisha
26.149998,91.85,Assam
26.649998,89.35,West Bengal
19.55,83.65,Odisha
22.55,92.55,Mizoram
22.45,88.95,West Bengal
25.649998,92.45,Meghalaya
31.649998,76.65,Himachal Pradesh
27.25,88.05,Sikkim
24.349998,91.95,Tripura
12.15,77.05,Karnataka
21.75,72.65,Gujarat
27.45,84.25,Bihar
34.75,78.35,Ladakh
26.349998,91.05,Assam
23.95,94.15,Manipur
26.05,92.05,Assam
28.75,80.25,Uttar Pradesh
22.55,73.85,Gujarat
26.649998,90.45,Assam
30.55,77.65,Himachal Pradesh
25.149998,91.45,Meghalaya
23.25,83.15,Chhattishgarh
24.149998,85.65,Jharkhand
20.65,73.45,Maharashtra
26.849998,88.25,West Bengal
22.25,76.75,Madhya Pradesh
34.95,74.15,Jammu and Kashmir
26.45,94.25,Nagaland
26.649998,92.95,Assam
27.55,91.65,Arunachal Pradesh
10.950001,76.75,Tamilnadu
19.35,78.75,Telengana
20.75,70.85,Gujarat
12.45,78.75,Tamilnadu
23.55,91.25,Tripura
24.149998,92.65,Mizoram
28.25,72.05,Rajasthan
26.649998,89.25,West Bengal
27.45,84.25,Bihar
20.65,86.95,Odisha
25.75,91.65,Meghalaya
23.849998,81.55,Madhya Pradesh
26.349998,91.25,Assam
32.65,75.55,Jammu and Kashmir
27.349998,82.35,Uttar Pradesh
25.149998,92.15,Meghalaya
26.55,90.25,Assam
29.349998,79.35,Uttarakhand
24.45,86.55,Jharkhand
19.85,80.45,Maharashtra
26.25,91.55,Assam
20.25,72.75,Gujarat
22.25,93.15,Mizoram
26.849998,88.25,West Bengal
26.149998,91.95,Assam
11.15,76.85,Tamilnadu
14.65,80.15,Andhra Pradesh
29.849998,78.15,Uttarakhand
27.05,69.55,Rajasthan
36.65,73.15,Ladakh
26.45,90.25,Assam
27.45,84.25,Bihar
22.55,88.95,West Bengal
23.25,92.45,Mizoram
24.849998,88.15,West Bengal
26.649998,89.15,West Bengal
27.45,96.75,Arunachal Pradesh
25.75,91.75,Meghalaya
27.649998,88.15,Sikkim
24.25,83.65,Jharkhand
21.75,86.35,Odisha
29.149998,80.25,Uttarakhand
10.65,76.65,Kerala
27.849998,95.45,Assam
26.149998,91.75,Assam
23.849998,91.25,Tripura
25.149998,90.45,Meghalaya
24.849998,92.25,Assam
22.45,79.95,Madhya Pradesh
27.05,88.05,West Bengal
30.849998,77.25,Himachal Pradesh
18.75,84.45,Andhra Pradesh
26.349998,90.45,Assam
21.649998,89.05,Unknown
28.05,94.35,Arunachal Pradesh
27.55,95.85,Assam
30.649998,79.15,Uttarakhand
30.45,78.65,Uttarakhand
26.149998,92.15,Assam
18.45,73.35,Maharashtra
26.55,91.15,Assam
26.75,89.35,West Bengal
15.55,74.35,Karnataka
26.149998,94.55,Nagaland
25.149998,93.95,Manipur
25.55,92.15,Meghalaya
24.149998,93.55,Manipur
27.149998,88.05,West Bengal
11.050001,76.95,Tamilnadu
27.149998,97.15,Unknown
27.45,84.25,Bihar
22.95,92.45,Mizoram
23.55,91.25,Tripura
26.349998,91.25,Assam
26.05,92.15,Meghalaya
26.649998,89.45,West Bengal
27.849998,82.15,Uttar Pradesh
23.95,94.15,Manipur
24.349998,91.95,Tripura
8.25,77.25,Tamilnadu
21.149998,72.65,Gujarat
26.25,82.65,Uttar Pradesh
26.95,88.15,West Bengal
25.649998,88.45,West Bengal
25.149998,92.15,Meghalaya
29.149998,80.25,Uttarakhand
17.75,74.95,Maharashtra
11.35,76.15,Kerala
26.55,90.45,Assam
31.649998,76.35,Himachal Pradesh
17.65,82.85,Andhra Pradesh
22.95,69.95,Gujarat
22.45,88.95,West Bengal
26.25,91.25,Assam
25.95,92.05,Meghalaya
30.349998,77.65,Uttar Pradesh
26.649998,89.45,West Bengal
12.55,80.15,Tamilnadu
8.95,76.55,Kerala
26.849998,88.25,West Bengal
30.849998,74.35,Punjab
10.45,76.75,Kerala
27.45,84.25,Bihar
23.05,91.75,Tripura
26.149998,91.55,Assam
22.95,92.45,Mizoram
24.95,94.65,Manipur
23.95,94.15,Manipur
24.349998,91.95,Tripura
25.55,92.25,Meghalaya
26.55,90.55,Assam
27.95,97.35,Arunachal Pradesh
29.95,78.75,Uttarakhand
23.55,91.25,Tripura
27.149998,97.15,Unknown
26.75,89.05,West Bengal
19.95,78.25,Maharashtra
10.35,79.85,Tamilnadu
25.95,92.05,Meghalaya
15.45,78.15,Andhra Pradesh
29.149998,79.35,Uttarakhand
26.45,91.55,Assam
18.65,72.95,Maharashtra
27.05,88.05,West Bengal
21.849998,81.25,Chhattishgarh
27.349998,79.35,Uttar Pradesh
25.149998,92.15,Meghalaya
26.55,90.25,Assam
9.65,77.45,Tamilnadu
25.55,77.45,Madhya Pradesh
19.85,72.65,Maharashtra
11.15,76.95,Tamilnadu
21.649998,87.45,Odisha
10.55,76.05,Kerala
25.649998,89.95,Assam
33.55,76.25,Jammu and Kashmir
23.349998,93.35,Mizoram
26.75,89.25,West Bengal
29.349998,80.25,Uttarakhand
25.75,91.95,Meghalaya
26.349998,90.55,Assam
27.05,88.05,West Bengal
27.149998,97.15,Unknown
27.45,96.15,Arunachal Pradesh
24.349998,91.95,Tripura
26.25,91.85,Assam
31.95,76.05,Himachal Pradesh
20.75,79.95,Maharashtra
21.649998,89.05,Unknown
23.25,91.35,Tripura
22.95,92.45,Mizoram
24.45,93.05,Manipur
27.45,84.25,Bihar
25.149998,92.15,Meghalaya
26.55,90.45,Assam
27.649998,91.65,Arunachal Pradesh
27.95,88.15,Sikkim
25.349998,94.15,Manipur
26.149998,91.85,Assam
26.849998,89.35,West Bengal
13.55,75.25,Karnataka
21.349998,74.05,Maharashtra
27.349998,96.35,Arunachal Pradesh
26.149998,94.95,Nagaland
26.349998,93.95,Assam
28.650002,96.25,Arunachal Pradesh
25.75,93.55,Assam
26.349998,90.75,Assam
31.05,78.15,Uttarakhand
30.149998,80.85,Uttarakhand
27.55,88.15,Sikkim
27.149998,88.05,West Bengal
30.95,77.25,Himachal Pradesh
24.75,83.15,Uttar Pradesh
33.75,74.65,Jammu and Kashmir
26.05,92.25,Meghalaya
20.75,81.95,Chhattishgarh
13.45,80.25,Tamilnadu
29.250004,80.25,Uttarakhand
22.649998,87.15,West Bengal
22.349998,88.95,West Bengal
11.95,79.35,Tamilnadu
25.649998,91.95,Meghalaya
26.649998,89.45,West Bengal
26.05,79.35,Uttar Pradesh
10.950001,77.05,Tamilnadu
18.85,79.65,Telengana
20.25,83.85,Odisha
24.05,77.05,Madhya Pradesh
26.95,88.15,West Bengal
26.95,72.25,Rajasthan
