latitude,longitude,state
23.178901918759834,84.9044129125341,Jharkhand
26.847723011541746,74.26066311768,Rajasthan
21.965022923952034,76.5185891810379,Madhya Pradesh
27.164344576744384,72.51942065167395,Rajasthan
17.07770880198936,80.08342607094619,Telengana
27.409746142146787,82.38421084145921,Uttar Pradesh
22.64047128447129,78.61820236836138,Madhya Pradesh
25.10075281131799,77.625250122137,Madhya Pradesh
28.832325579811197,95.8411157059436,Arunachal Pradesh
26.365363957655973,82.6980529617822,Uttar Pradesh
8.660431572641315,77.30020882764529,Tamilnadu
24.52039073787563,78.12698358252874,Madhya Pradesh
25.982927490944178,93.23947719520038,Assam
20.113571668612366,82.65085956577968,Odisha
21.619221910367543,77.29833405927002,Maharashtra
23.26279308543235,93.39515712447246,Unknown
21.82058556373073,80.80786338071994,Madhya Pradesh
25.246011544419787,80.19095240337447,Madhya Pradesh
17.948734834953484,74.9963129113371,Maharashtra
12.134470603240828,78.74284784588781,Tamilnadu
