latitude,longitude,state
34.35,79.45,Ladakh
37.05,74.65,Ladakh
21.75,69.55,Gujarat
35.75,78.45,Ladakh
32.75,78.45,Ladakh
28.25,97.25,Arunachal Pradesh
19.05,82.55,Odisha
22.05,92.65,Mizoram
31.55,78.35,Himachal Pradesh
35.65,73.25,Ladakh
28.850002,94.45,Arunachal Pradesh
27.45,84.25,Bihar
26.45,89.75,West Bengal
25.25,90.15,Meghalaya
34.55,77.45,Ladakh
24.25,69.15,Gujarat
27.149998,92.05,Arunachal Pradesh
21.649998,89.05,Unknown
15.75,80.95,Andhra Pradesh
19.55,81.35,Chhattishgarh
23.05,91.65,Tripura
31.75,77.35,Himachal Pradesh
20.05,82.55,Odisha
23.25,81.75,Madhya Pradesh
28.349998,95.85,Arunachal Pradesh
22.149998,78.65,Madhya Pradesh
23.25,84.75,Jharkhand
16.25,79.35,Andhra Pradesh
22.849998,71.15,Gujarat
24.25,88.65,West Bengal
35.75,80.05,Ladakh
28.149998,92.75,Arunachal Pradesh
28.05,88.55,Sikkim
22.25,80.55,Madhya Pradesh
25.95,93.35,Assam
33.45,73.65,Jammu and Kashmir
27.649998,82.65,Uttar Pradesh
26.55,90.45,Assam
16.55,82.25,Andhra Pradesh
29.849998,80.35,Uttarakhand
25.849998,89.85,Assam
21.75,76.95,Madhya Pradesh
21.05,71.75,Gujarat
26.849998,89.35,West Bengal
33.65,76.85,Ladakh
15.15,80.05,Andhra Pradesh
18.45,80.35,Telengana
16.75,73.35,Maharashtra
23.95,94.15,Manipur
32.35,76.25,Himachal Pradesh
25.149998,91.45,Meghalaya
29.349998,80.25,Uttarakhand
26.349998,90.55,Assam
15.85,78.65,Andhra Pradesh
26.75,95.45,Arunachal Pradesh
26.55,87.05,Bihar
34.65,75.55,Ladakh
25.25,88.85,West Bengal
23.849998,84.15,Jharkhand
17.05,79.85,Telengana
22.05,74.25,Madhya Pradesh
25.849998,91.45,Assam
20.25,81.85,Chhattishgarh
35.65,77.35,Ladakh
27.149998,88.05,West Bengal
24.149998,91.65,Tripura
22.95,92.45,Mizoram
27.149998,97.15,Unknown
20.75,80.65,Chhattishgarh
26.75,91.95,Assam
26.849998,90.35,Assam
25.349998,80.15,Madhya Pradesh
18.15,81.85,Odisha
18.65,83.45,Andhra Pradesh
26.349998,91.35,Assam
23.149998,91.35,Tripura
24.149998,71.45,Gujarat
29.050003,80.05,Uttarakhand
25.75,94.95,Nagaland
23.849998,93.35,Mizoram
11.35,75.75,Kerala
26.149998,92.25,Assam
31.25,77.35,Himachal Pradesh
27.45,84.25,Bihar
21.45,80.55,Madhya Pradesh
24.649998,82.15,Madhya Pradesh
22.649998,86.95,West Bengal
11.15,76.65,Kerala
20.75,83.55,Odisha
26.25,91.35,Assam
26.55,89.55,West Bengal
25.149998,92.15,Meghalaya
22.649998,78.45,Madhya Pradesh
24.349998,70.35,Gujarat
35.45,76.05,Ladakh
19.85,86.05,Odisha
29.450005,96.05,Arunachal Pradesh
25.849998,91.95,Meghalaya
26.95,88.15,West Bengal
