state,longitude,latitude,method,index_right,dtname,stname
UttarPradeshMadhyaPradeshRajasthan,79.35,26.45,unconstrained,26,Auraiya,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.25,25.05,unconstrained,405,Prayagraj,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.75,25.55,unconstrained,43,Banda,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.35,28.25,unconstrained,203,Kheri,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.35,28.45,unconstrained,304,Sambhal,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.35,27.25,unconstrained,130,Farrukhabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.75,24.25,unconstrained,225,Lalitpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.25,26.25,unconstrained,283,Rae Bareli,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.35,24.95,unconstrained,80,Chandauli,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.65,30.15,unconstrained,300,Saharanpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.55,28.65,unconstrained,138,Gautam Buddha Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.25,26.05,unconstrained,27,Azamgarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.55,28.75,unconstrained,48,Bareilly,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,27.35,unconstrained,329,Sitapur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.15,29.15,unconstrained,31,Baghpat,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.25,27.15,unconstrained,45,Bara Banki,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.15,24.95,unconstrained,80,Chandauli,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.75,27.25,unconstrained,329,Sitapur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.75,29.75,unconstrained,300,Saharanpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.65,26.35,unconstrained,359,Unnao,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.45,24.55,unconstrained,331,Sonbhadra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.45,29.05,unconstrained,31,Baghpat,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.15,26.45,unconstrained,147,Gorakhpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.45,27.15,unconstrained,191,Kannauj,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.85,29.45,unconstrained,66,Bijnor,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.35,27.95,unconstrained,203,Kheri,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.05,28.75,unconstrained,277,Pilibhit,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.45,26.35,unconstrained,171,Jalaun,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.15,27.85,unconstrained,321,Shrawasti,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.45,26.45,unconstrained,20,Amethi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.25,26.75,unconstrained,45,Bara Banki,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.65,27.95,unconstrained,240,Mathura,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.85,26.85,unconstrained,146,Gonda,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.55,27.95,unconstrained,15,Aligarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.45,25.85,unconstrained,176,Jaunpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.35,27.75,unconstrained,15,Aligarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.35,26.25,unconstrained,27,Azamgarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.45,26.75,unconstrained,45,Bara Banki,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.95,27.35,unconstrained,322,Siddharthnagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.65,27.45,unconstrained,540,Mahrajganj,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.45,24.65,unconstrained,331,Sonbhadra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.45,25.45,unconstrained,200,Kaushambi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.85,24.55,unconstrained,225,Lalitpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.85,25.85,unconstrained,152,Hamirpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.75,27.85,unconstrained,314,Shahjahanpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.35,28.25,unconstrained,73,Bulandshahr,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.85,28.05,unconstrained,15,Aligarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.25,26.95,unconstrained,45,Bara Banki,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.15,26.75,unconstrained,129,Etawah,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.25,25.95,unconstrained,279,Pratapgarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.45,26.15,unconstrained,241,Mau,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.75,27.25,unconstrained,540,Mahrajganj,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.35,26.85,unconstrained,26,Auraiya,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.55,27.55,unconstrained,130,Farrukhabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.45,27.65,unconstrained,41,Balrampur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.75,25.55,unconstrained,179,Jhansi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.75,26.75,unconstrained,112,Faizabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.95,27.25,unconstrained,329,Sitapur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.25,28.65,unconstrained,48,Bareilly,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.05,25.55,unconstrained,131,Fatehpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.35,24.35,unconstrained,331,Sonbhadra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.35,24.95,unconstrained,80,Chandauli,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.25,27.75,unconstrained,41,Balrampur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.15,27.65,unconstrained,329,Sitapur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.95,28.45,unconstrained,203,Kheri,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.65,27.85,unconstrained,240,Mathura,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.85,27.25,unconstrained,329,Sitapur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.25,28.85,unconstrained,31,Baghpat,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.25,27.55,unconstrained,156,Hardoi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.45,27.75,unconstrained,159,Hathras,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.45,25.95,unconstrained,241,Mau,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.75,25.85,unconstrained,131,Fatehpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.05,26.15,unconstrained,193,Kanpur Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.75,25.15,unconstrained,405,Prayagraj,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.85,30.25,unconstrained,300,Saharanpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.85,26.45,unconstrained,341,Sultanpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.35,29.75,unconstrained,66,Bijnor,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.65,26.65,unconstrained,26,Auraiya,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.45,25.25,unconstrained,90,Chitrakoot,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.55,27.25,unconstrained,132,Firozabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.25,24.35,unconstrained,331,Sonbhadra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.55,25.75,unconstrained,43,Banda,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.45,26.85,unconstrained,12,Agra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.45,28.15,unconstrained,73,Bulandshahr,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.55,28.05,unconstrained,203,Kheri,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.95,27.45,unconstrained,322,Siddharthnagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.65,27.25,unconstrained,240,Mathura,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.55,25.05,unconstrained,225,Lalitpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.25,28.95,unconstrained,21,Amroha,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.95,28.45,unconstrained,203,Kheri,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.35,25.85,unconstrained,176,Jaunpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.85,24.95,unconstrained,90,Chitrakoot,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.95,26.55,unconstrained,305,Sant Kabir Nagar,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.75,28.55,unconstrained,277,Pilibhit,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.45,28.15,unconstrained,32,Bahraich,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.25,24.55,unconstrained,331,Sonbhadra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.25,25.85,unconstrained,27,Azamgarh,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.75,24.45,unconstrained,331,Sonbhadra,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,81.45,26.55,unconstrained,20,Amethi,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.55,26.95,unconstrained,52,Basti,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.85,25.85,unconstrained,131,Fatehpur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,83.35,24.95,unconstrained,80,Chandauli,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.85,27.75,unconstrained,329,Sitapur,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.95,28.55,unconstrained,73,Bulandshahr,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.45,27.35,unconstrained,132,Firozabad,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.55,27.35,unconstrained,240,Mathura,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,77.45,27.45,unconstrained,240,Mathura,UTTAR PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.95,26.75,unconstrained,305,Sant Kabir Nagar,UTTAR PRADESH
